,averageOccupancy,averageSpeed,dataRegion,month,paxKms,routeLength,routeUid,vehicleKms,vehicleTrips,vehicleUid,year,Unnamed: 11,Unnamed: 12,CURRENT PLATE,Euro Class
1274,1.919995674,30.07936123,Bay of Plenty,2,1093.298095,8.627687487,Bay of Plenty-5,569.4273742,76,GCY582,2022,,,GCY582,EURO IV
1275,2.091377389,26.46491446,Bay of Plenty,2,371.7702721,6.583828155,Bay of Plenty-4,177.7633602,33,GCY582,2022,,,GCY582,EURO IV
1276,1.421340287,27.92895764,Bay of Plenty,2,186.970763,5.979335931,Bay of Plenty-11,131.5453905,30,GCY582,2022,,,GCY582,EURO IV
1277,1.727585203,24.11284841,Bay of Plenty,2,323.3971776,4.799899483,Bay of Plenty-8,187.1960798,47,GCY582,2022,,,GCY582,EURO IV
1278,2.483858735,27.47179647,Bay of Plenty,10,561.5638327,6.280145941,Bay of Plenty-9,226.0852539,44,GCY582,2022,,,GCY582,EURO IV
1279,1.784866064,27.75743258,Bay of Plenty,10,326.0499583,6.089158265,Bay of Plenty-12,182.6747479,37,GCY582,2022,,,GCY582,EURO IV
1280,3.006660876,27.78863544,Bay of Plenty,10,794.9181675,8.812856967,Bay of Plenty-7,264.385709,38,GCY582,2022,,,GCY582,EURO IV
1281,4.356061684,32.57127142,Bay of Plenty,10,1151.376223,10.5726347,Bay of Plenty-10,264.3158676,30,GCY582,2022,,,GCY582,EURO IV
1282,3.648556336,32.18740339,Bay of Plenty,10,1603.675051,14.65122917,Bay of Plenty-1,439.5368752,43,GCY582,2022,,,GCY582,EURO IV
1283,5.477394931,29.26460816,Bay of Plenty,10,1374.608528,10.45667805,Bay of Plenty-3,250.9602731,39,GCY582,2022,,,GCY582,EURO IV
1284,2.869503112,26.56662564,Bay of Plenty,10,458.3510025,6.655493195,Bay of Plenty-6,159.7318367,33,GCY582,2022,,,GCY582,EURO IV
1285,3.844145574,26.73569335,Bay of Plenty,10,994.3568061,7.838419187,Bay of Plenty-5,258.6678332,42,GCY582,2022,,,GCY582,EURO IV
1286,3.12359847,27.11989124,Bay of Plenty,10,597.217138,6.828401186,Bay of Plenty-4,191.1952332,33,GCY582,2022,,,GCY582,EURO IV
1287,2.656631689,26.95504004,Bay of Plenty,10,437.1567992,6.094556739,Bay of Plenty-11,164.553032,34,GCY582,2022,,,GCY582,EURO IV
1288,2.698433412,26.18133316,Bay of Plenty,10,338.1908474,5.013143492,Bay of Plenty-8,125.3285873,33,GCY582,2022,,,GCY582,EURO IV
1289,2.269906183,27.39076034,Bay of Plenty,8,669.7052473,14.04935865,Bay of Plenty-9,295.0365316,31,GCY582,2022,,,GCY582,EURO IV
1290,2.297568727,25.90379942,Bay of Plenty,8,574.0790963,6.094237363,Bay of Plenty-12,249.8637319,50,GCY582,2022,,,GCY582,EURO IV
1291,2.666167226,29.7216406,Bay of Plenty,8,793.7053313,8.755742785,Bay of Plenty-7,297.6952547,49,GCY582,2022,,,GCY582,EURO IV
1292,3.479141052,33.65690495,Bay of Plenty,8,1661.738236,10.61397506,Bay of Plenty-10,477.6288778,55,GCY582,2022,,,GCY582,EURO IV
1293,2.610988482,35.09436291,Bay of Plenty,8,1482.538307,14.19518237,Bay of Plenty-1,567.807295,52,GCY582,2022,,,GCY582,EURO IV
1294,3.038243374,29.95332412,Bay of Plenty,8,1097.753706,19.01641959,Bay of Plenty-3,361.3119722,43,GCY582,2022,,,GCY582,EURO IV
