,Route,Day of Week,Trip Hour,Trip Count,Mean Running Time,Total Actual In-Service KM,Total Passenger KM,Mean Speed,Mean Occupancy,Total CO2 Emissions,Total emissions $value,Total emissions savings
1319,21,Saturday,08:00,156,1187.0961538461538,1185.464,2290.941,21.248330030252944,1.8556829919020617,142091.92155339304,12.361997175145195,40.62895750384615
1320,21,Saturday,09:00,234,1215.4188034188035,1752.949,5877.2660000000005,19.712828058327734,3.190851126836003,205940.98396195582,17.916865604690155,104.23105202307693
1321,21,Saturday,10:00,312,1267.7147435897436,2355.371,8729.484,19.770759182818555,3.528321454129095,591812.648883646,51.487700452877206,154.81404124615386
1322,21,Saturday,11:00,312,1240.6410256410259,2283.933,9016.064,19.137647839171624,3.640786181900945,582777.5439951152,50.70164632757502,159.89642732307692
1323,21,Saturday,12:00,312,1324.3525641025642,2275.795,9282.869999999999,18.787867099571834,3.740681344593967,562761.6953126725,48.960267492202505,164.62812911538464
1324,21,Saturday,13:00,312,1301.5032051282053,2282.1459999999997,9870.387,18.359465740368048,3.970825855721144,611175.4902111439,53.17226764836953,175.0475171423077
1325,21,Saturday,14:00,312,1284.5833333333333,2317.1899999999996,10853.087,18.922431375836595,4.346533644035523,512662.8559750577,44.60166846983002,192.47532368076924
1326,21,Saturday,15:00,312,1277.6185897435898,2299.491,10057.818,18.83384641183146,4.020285266115989,908658.2475526985,79.05326753708478,178.37153383846154
1327,21,Saturday,16:00,312,1300.878205128205,2356.085,10834.880000000001,19.321171228381136,4.332717038925256,1399400.8970891405,121.74787804675522,192.15242953846155
1328,21,Saturday,17:00,312,1306.2564102564102,2339.098,10942.363000000001,19.374527584179887,4.385208005621008,520449.86473796796,45.279138232203216,194.05859920384614
1329,21,Saturday,18:00,156,1287.0576923076924,1185.821,5122.665,19.804101262154802,4.122381264904839,94757.84625339403,8.243932624045279,90.84849351923077
1330,21,Saturday,19:00,156,1274.3012820512822,1177.328,4192.095,20.15101310160682,3.3735400416350565,92704.60202299603,8.065300376000655,74.34519248076924
1331,21,Saturday,20:00,156,1184.5128205128206,1145.8559999999998,3794.011,20.807668021384565,3.0386732623927895,569254.3451001564,49.5251280237136,67.28532584999999
1332,21,Saturday,21:00,156,1114.7692307692307,1114.0259999999998,3677.031,20.346734147917402,2.9276114290688,967695.0637254,84.18947054410981,65.2107305423077
1333,21,Saturday,22:00,156,1137.5961538461538,1146.213,2922.515,20.402017158089233,2.3225918005014674,912675.6337859264,79.40278013937561,51.82967948076923
1334,21,Saturday,23:00,156,1141.2564102564102,1129.2279999999998,2577.208,20.935252820692554,2.0597501230415687,483592.7734816483,42.072571292903405,45.70579264615385
1335,21,Sunday,08:00,156,1094.9423076923076,1186.177,1825.475,23.73435568447281,1.4777926176752292,152976.91502026233,13.308991606762824,32.374097019230774
1336,21,Sunday,09:00,156,1242.673076923077,1185.106,4334.24,20.911385050907732,3.523969326909249,236261.8196701521,20.55477831130323,76.86607938461539
1337,21,Sunday,10:00,156,1271.724358974359,1185.82,5473.472,20.31718961415572,4.421057946521927,184553.13695283714,16.056122914896832,97.06992073846155
1338,21,Sunday,11:00,156,1277.878205128205,1185.463,5443.862,20.737781471108846,4.378543442286196,546114.1001619835,47.51192671409257,96.54479877692309
1339,21,Sunday,12:00,156,1324.4358974358975,1185.462,5936.329,19.622564252412495,4.762861641815477,532970.0564528264,46.368394911395896,105.27851161153848
1340,21,Sunday,13:00,156,1311.1794871794873,1169.905,6110.107,20.26774082050258,4.895897364615554,94015.06403997465,8.179310571477794,108.36039760384617
1341,21,Sunday,14:00,156,1185.9679487179487,1153.2759999999998,5841.127,19.73864129346104,4.632084135804339,311805.0872601426,27.12704259163241,103.59014075769231
1342,21,Sunday,15:00,156,1215.1858974358975,1161.769,5468.029,20.06999903758232,4.367451169445848,704385.2794696077,61.28151931385589,96.97339122692308
1343,21,Sunday,16:00,156,1295.147435897436,1186.1779999999999,6177.6939999999995,20.21916776792419,4.937751763992134,703100.9378361446,61.16978159174458,109.55902705384617
1344,21,Sunday,17:00,156,1290.0833333333333,1193.241,5274.989,20.569203258429642,4.2138551149752175,415954.9533599474,36.18808094231542,93.54990107307692
1345,21,Sunday,18:00,156,1203.878205128205,1201.734,3782.9570000000003,22.94696525795918,3.020452869313381,749535.907649463,65.20962396550328,67.08928741153846
1346,21,Sunday,19:00,156,1162.019230769231,1185.106,2854.7419999999997,23.472759068839974,2.282936582363149,1030579.5672288777,89.66042234891236,50.627751392307694
1347,21,Sunday,20:00,156,1124.8012820512822,1177.684,2633.41,23.972943024594706,2.0932729841741002,1005867.3650406839,87.5104607585395,46.7025135
1348,21,Sunday,21:00,156,1048.4551282051282,1169.19,2583.5020000000004,23.008278635989242,2.0524632965659113,655145.3414974264,56.99764471027609,45.81741431538462
1349,21,Thursday,06:00,219,882.1712328767125,1178.3724212798768,2563.5810934464153,24.43990837804786,2.1737898570467946,1008552.1419152927,87.74403634663047,45.46412469954392
1350,21,Thursday,07:00,522,1019.5432485322896,3097.753509611872,17884.960923020786,19.659841323763988,5.140184063780257,2763525.899373676,240.4267532455098,317.18290313864946
1351,21,Thursday,08:00,740,1044.4548903151642,3751.8525586346354,29709.965619545845,17.03175794628963,7.294595742406734,2196966.833333345,191.13611450000104,526.894813352792
1352,21,Thursday,09:00,935,815.5645128843759,3746.1662026959066,23119.45095061497,18.148823565163166,6.24197536438599,2864475.775504361,249.2093924688794,410.014570512637
1353,21,Thursday,10:00,745,857.2881940948395,3046.312763629315,17025.4389071048,20.770956763178194,5.494909071282071,2353283.061581013,204.73562635754809,301.93961077177016
1354,21,Thursday,11:00,697,883.8933344221464,2715.2236805589146,16404.116058355892,18.537194725996216,5.647024694629771,2431747.3206133107,211.56201689335802,290.92068901953473
1355,21,Thursday,12:00,673,903.8820362100943,2831.935701930851,16014.398189163792,18.4007717356363,5.140688736737926,2564431.5611490104,223.10554581996394,284.00919250090095
1356,21,Thursday,13:00,823,919.5861872146119,3071.861357240724,16168.046354718042,19.011191647505743,4.656132927894924,2533225.0837918837,220.39058228989387,286.7340836215573
1357,21,Thursday,14:00,823,867.224200913242,2988.6212378404603,16065.722805721656,18.36297077332549,4.553813168278382,2122471.5653356183,184.6550261841988,284.9194148353176
1358,21,Thursday,15:00,824,912.0061150127034,3334.5306956963113,19846.150999210902,18.739649525414087,4.391661338156158,2766521.806334755,240.6873971511237,351.9638548360057
1359,21,Thursday,16:00,575,1059.9733991123032,2765.6001927087714,15866.041612225297,17.433849561123175,5.042137297189108,2274563.395831399,197.88701543733174,281.3781456691187
1360,21,Thursday,17:00,473,1161.9304936035323,1897.099298993565,12623.128028850122,16.1834809101538,5.320793729452436,1730251.5025106545,150.53188071842692,223.86632054241505
1361,21,Thursday,18:00,249,1112.940504570446,1741.3533791787956,9506.72845802148,17.317989893531863,5.744822502749987,859369.4722677561,74.76514408729477,168.59817276898863
1362,21,Thursday,19:00,244,1208.9020034564262,1941.586,6874.003,21.256824956152677,3.217208081009248,788022.1704450108,68.55792882871594,121.90779935769231
1363,21,Thursday,20:00,200,1294.411224489796,1574.9189999999999,5256.045,21.651370159419354,3.3430785135337433,616162.7907333771,53.60616279380381,93.21393651923077
1364,21,Thursday,21:00,156,1295.4734340241191,1146.212,4234.833,20.07416346735749,3.4001506578541427,214757.12893971862,18.68387021775552,75.10313447307693
1365,21,Thursday,22:00,156,1235.5255941927173,1218.006,3378.525,22.936794679812014,3.027619732430337,309997.42693583056,26.969776143417256,59.91684144230769
1366,21,Thursday,23:00,156,964.5644186863365,1153.632,1846.318,23.585945579792575,1.8212785436188892,469907.80204331776,40.881978777768644,32.743739607692305
1367,21,Tuesday,06:00,213,870.9647887323944,1158.8914890944886,2771.1865096830643,24.051873199723545,2.3889791679503665,970611.1866557588,84.44317323905102,49.14592690826389
1368,21,Tuesday,07:00,504,918.8332676712959,2928.4489062776547,17981.142716573668,18.75414209692674,5.646071875733746,2689756.201952472,234.00878956986503,318.8886502543123
1369,21,Tuesday,08:00,724,1044.0393626020386,3750.561981595501,30433.913233026167,18.174607940219655,7.068580450389772,2120187.794863539,184.4563381531279,539.7337458364756
1370,21,Tuesday,09:00,912,804.1523086470095,3576.8991515614343,25371.23127211284,18.056026772089634,6.518655307786425,2729282.780340496,237.44760188962317,449.9490284450473
1371,21,Tuesday,10:00,725,865.0149998735316,2948.8411836172527,17496.019749510953,19.58705064424268,5.473417324692004,2295632.699980207,199.72004489827802,310.28518101921156
1372,21,Tuesday,11:00,679,832.998370944622,2621.5351341665555,16469.75461695685,18.131596399816708,5.552198980625849,2330906.133837721,202.78883364388173,292.08476361072314
1373,21,Tuesday,12:00,656,959.6985150605213,2774.799510871362,16672.58663984637,19.344262685275467,5.560652803512533,2479898.1556248977,215.75113953936614,295.68191152435236
1374,21,Tuesday,13:00,801,950.4245214879018,2976.7743251898796,15883.580868690055,19.717641014751944,4.687182575867319,2366228.42624249,205.8618730830966,281.68919763665326
1375,21,Tuesday,14:00,804,826.3616700201208,2897.904026137109,15740.16965970636,19.927776448453187,4.667280127833166,1997911.3071236552,173.818283719758,279.1458550034847
1376,21,Tuesday,15:00,802,908.1720902532828,3206.0222549033956,20951.467258283916,18.534835523559796,4.544645134618031,2814738.9104483593,244.88228520900728,371.5662135690275
1377,21,Tuesday,16:00,560,1109.230193351795,2634.780055223227,16114.652515125474,17.275403596322807,5.425128656767082,2193942.8291382496,190.87302613502771,285.78716441247525
1378,21,Tuesday,17:00,464,1036.0571946887046,1907.521321590083,13184.612969348784,16.916860874969668,5.691037721846424,1685837.5153206994,146.66786383290088,233.82404000641247
1379,21,Tuesday,18:00,242,1260.7244630766286,1666.3956597720558,9645.210991135502,18.760126712014266,4.744211130752939,738936.1644588162,64.28744630791701,171.05410723125306
1380,21,Tuesday,19:00,242,1237.3140572969328,1878.286,6109.2970000000005,21.83848470989601,3.205628778258594,806742.4571171793,70.18659376919459,108.34603256538462
1381,21,Tuesday,20:00,199,1248.2885507246376,1542.732,5037.782,21.966793139422897,3.526659899020234,582556.907654982,50.68245096598343,89.34312616153846
1382,21,Tuesday,21:00,156,1258.70009009009,1202.091,4856.855,21.897741174456243,3.6930771864088943,221559.39697588954,19.27566753690239,86.13445540384616
1383,21,Tuesday,22:00,148,1042.3234361121686,1161.77,2595.5809999999997,21.642302535865536,2.1836568621367913,240569.23204106177,20.92952318757237,46.03163073461538
1384,21,Tuesday,23:00,148,975.2413822272978,1074.059,1113.825,24.661154542640038,1.135175794581161,333598.7868779089,29.023094458378075,19.753257980769234
