,Vehicle Number,Vehicle Type,Vehicle Emissions Standard,Vehicle Registration Number,TARE Weight (KG),Total Trips,Routes,Service Types,Total Running Time,Total In-Service KM,Total Passenger KM,Cancelled Trips Count,Average Speed,Average Occupancy,"Total CO2 Emissions, KG","Total Emissions Value, $","Total Emissions Savings, $",Emissions per VKT
10,2161,LV,EURO4,FHJ220,12760.0,1676,"14, 21, 711, 3, 12, 22, 784, 34, 18, 740, 83, 35, 36, 13, 33, 37, 84, 719, 667, 739, 2, 888, 81, 754, 755, 615, 736, 760, 722, 616, 717, 737, 712, 761, 741, 886, 619, 617, 764, 612, 614, 611, 621, 767, 704, 745","Public Bus, School Bus",3477586,20640.898,256774.045,1,20.82981747047546,11.52261881923892,21484.52855111217,1869.1539839467587,2684.6349448801648,1.0408717949728818
11,2162,LV,EURO4,FJQ518,12760.0,1374,"12, 14, 2, 21, 22, 34, 35, 3, 18, 37, 83, 33, 84, 616, 13, 81, 755, 612, 739, 784, 741, 888, 887, 740, 737, 704, 712, 36, 711, 754, 736, 743, 758, 617, 619, 886, 791, 742, 719, 722, 753, 611, 760, 762","Public Bus, School Bus",2749510,16719.815,202221.3,1,20.80311271107165,11.074488010021957,17054.055108144305,1483.7027944085544,2102.614183668369,1.0199906582784741
12,2163,LV,EURO4,FJQ531,12760.0,1927,"21, 33, 34, 83, 84, 13, 14, 18, 22, 736, 739, 12, 3, 888, 36, 755, 81, 35, 37, 615, 760, 784, 712, 761, 617, 704, 619, 2, 754, 719, 887, 611, 612, 737, 886, 621, 740, 742, 758, 718, 616, 741, 722, 28, 791, 745","Public Bus, School Bus",3888878,23276.918,278583.956,0,20.580377935901637,11.283822799383884,24079.98401135796,2094.9586089881427,2845.620702996473,1.0345005301542909
13,2164,LV,EURO4,FJQ546,12760.0,1847,"83, 21, 84, 81, 3, 22, 12, 13, 14, 35, 33, 34, 888, 18, 667, 739, 36, 612, 616, 621, 711, 717, 37, 719, 740, 615, 712, 784, 617, 764, 704, 722, 2, 718, 886, 619, 614, 736, 755, 762, 28, 611, 737, 754","Public Bus, School Bus",3664618,22247.155,268113.348,3,21.022719129506143,10.928179102601673,22852.051754076107,1988.1285026046214,2766.7586036569173,1.0271898476041592
14,2165,LV,EURO4,FJQ554,12760.0,1947,"14, 21, 22, 34, 83, 13, 616, 3, 81, 84, 12, 35, 18, 2, 784, 712, 760, 36, 767, 33, 755, 612, 704, 711, 717, 741, 886, 37, 739, 619, 753, 719, 736, 611, 737, 614, 722, 791, 888, 740, 743, 621, 20, 754, 744, 745, 615","Public Bus, School Bus",4014699,25021.169,310245.858,3,21.177969567984576,10.93492926807735,25401.709710920193,2209.948744850057,3292.1422214499435,1.0152087502754243
15,2166,LV,EURO4,FJQ556,12760.0,2006,"3, 22, 35, 83, 14, 81, 886, 13, 21, 33, 12, 2, 34, 18, 84, 888, 616, 611, 737, 37, 743, 711, 717, 612, 36, 704, 740, 667, 784, 617, 761, 741, 742, 764, 736, 739, 760, 755, 744, 621, 722, 758, 754, 745, 615, 719, 28, 791","Public Bus, School Bus",3833845,22902.664,270314.684,3,20.849427081779012,10.448324232600262,23677.610361934552,2059.9521014883067,2733.97485206554,1.0338365162207572
16,2167,LV,EURO4,FLJ944,12760.0,1867,"3, 12, 21, 22, 33, 34, 35, 755, 13, 14, 83, 36, 37, 18, 739, 616, 611, 612, 740, 711, 717, 704, 84, 886, 81, 888, 615, 736, 721, 722, 742, 2, 719, 760, 784, 623, 887, 712, 743, 737, 769, 761, 621","Public Bus, School Bus",3730483,22612.822,267739.308,1,21.33153497298579,10.89442519140442,23258.48623905979,2023.4883027982014,2724.7653479248756,1.0285530147037725
17,2168,LV,EURO4,FLJ957,12760.0,1745,"3, 22, 83, 84, 888, 12, 14, 21, 712, 33, 34, 35, 18, 616, 737, 612, 617, 764, 619, 736, 13, 739, 37, 740, 784, 36, 2, 760, 704, 81, 711, 722, 719, 621, 745, 742, 611, 717, 741, 886","Public Bus, School Bus",3308648,19337.688,230099.914,3,20.783025057252466,10.688611547593599,20224.984912692642,1759.57368740426,2321.159787418817,1.045884332847476
18,2201,LV,EURO5,FEQ152,12190.0,865,"3, 12, 14, 22, 21, 34, 36, 617, 736, 18, 740, 13, 739, 33, 83, 84, 621, 35, 737, 616, 2, 888, 755, 615, 722, 761, 711, 717, 612, 784, 886, 81, 37, 762, 754","Public Bus, School Bus",1576663,9126.506,108152.09,6,20.2108131064613,10.940698672747704,9333.564225106351,812.0200875842526,1106.0156316080552,1.022687567959343
19,2202,LV,EURO5,FFJ71,12190.0,1779,"3, 12, 21, 22, 784, 18, 83, 14, 35, 37, 81, 33, 84, 34, 617, 13, 739, 36, 721, 761, 722, 888, 2, 755, 615, 737, 611, 712, 612, 704, 740, 711, 717, 736, 616, 886, 742, 762, 754, 745, 719, 764","Public Bus, School Bus",3495121,22061.455,265713.442,2,21.699148095060924,10.772013272208634,21723.43178181342,1889.9385650177676,2822.3871313745403,0.9846781085750427
20,2203,LV,EURO5,FFJ72,12190.0,1370,"3, 12, 14, 21, 22, 34, 761, 18, 667, 719, 33, 83, 711, 717, 611, 37, 35, 2, 617, 13, 36, 736, 791, 755, 886, 81, 740, 616, 754, 84, 888, 722, 739, 619, 742, 887, 769, 718, 612","Public Bus, School Bus",2622641,15741.896999999999,187190.389,1,20.670539975501303,10.952323773453918,15804.646718039088,1375.0042644694006,1944.745288142138,1.0039861598661894
21,2204,LV,EURO5,FFJ80,12190.0,1368,"21, 22, 33, 34, 37, 14, 83, 711, 717, 611, 2, 35, 18, 13, 612, 3, 81, 12, 84, 739, 888, 36, 745, 736, 712, 615, 743, 784, 761, 617, 764, 619, 886, 737, 704, 754, 740, 755, 621, 616, 718, 722","Public Bus, School Bus",2589658,15495.677,184744.38,3,20.601229847084888,10.462681633022925,15620.790557711805,1359.008778520927,1917.3617452483038,1.008074094323972
22,2205,LV,EURO5,FGB484,12190.0,1678,"18, 621, 21, 22, 33, 35, 737, 739, 13, 34, 3, 14, 36, 745, 37, 83, 761, 12, 755, 81, 84, 721, 736, 888, 667, 760, 784, 886, 704, 719, 619, 2, 742, 764, 611, 612, 754, 740, 758, 722, 762, 711, 617","Public Bus, School Bus",3424482,21265.151,253512.825,4,21.553356696973957,10.572264831206404,21121.352142945078,1837.5576364362219,2658.394810006086,0.9932378163195303
23,2206,LV,EURO5,FGB494,12190.0,1844,"3, 22, 83, 886, 14, 21, 33, 34, 81, 741, 84, 2, 18, 37, 12, 35, 36, 719, 621, 740, 888, 755, 13, 737, 739, 704, 612, 712, 619, 736, 784, 761, 711, 717, 722, 667, 616, 611, 744, 742, 623, 743, 718, 758, 615, 768, 28, 791, 762","Public Bus, School Bus",3510677,20347.687,239577.487,6,20.303030689079005,11.085847493111265,20865.17111391652,1815.2698869107373,2433.544699846955,1.0254320854216266
24,2207,LV,EURO5,FGB495,12190.0,1831,"3, 14, 81, 83, 21, 22, 754, 12, 13, 84, 33, 36, 37, 2, 34, 18, 35, 722, 761, 712, 741, 886, 619, 764, 719, 784, 888, 612, 711, 717, 704, 740, 755, 718, 667, 616, 739, 744, 737, 745","Public Bus, School Bus",3583059,22089.727,276800.503,1,21.306696578579015,10.758167630006934,21973.563358867483,1911.700012221471,2997.250446751606,0.9947412821746273
