Date,Route,Route Variant,Direction,Trip Number,Actual Vehicle Type,Vehicle Number,Vehicle Emissions Standard,Start Minute (Sched),Day,Actual Running Time,Actual In-Service KM,Passenger km,Scheduled In-Service km,Cancelled Trips,Sched Running Time per Trip
22-Jan-2022,1,1_5,Inbound,5040,Unknown,Unknown,Unknown,21:21,Saturday,0,0.000,0.000,22.280,1,"3,420"
22-Jan-2022,1,1_5,Inbound,5080,Unknown,3930,Unknown,22:18,Saturday,173,22.280,103.853,22.280,0,"3,420"
22-Jan-2022,1,1_5,Inbound,5120,Unknown,Unknown,Unknown,23:15,Saturday,0,0.000,0.000,22.280,0,"3,300"
22-Jan-2022,1,1_7,Outbound,4010,ELVDD,3708,ELECTRIC,06:35,Saturday,"2,554",21.026,90.330,21.026,0,"3,600"
22-Jan-2022,1,1_7,Outbound,4030,ELVDD,3706,ELECTRIC,07:05,Saturday,"2,859",21.026,114.581,21.026,0,"3,600"
22-Jan-2022,1,1_7,Outbound,4050,ELVDD,3710,ELECTRIC,07:35,Saturday,"2,912",21.026,120.084,21.026,0,"3,600"
22-Jan-2022,1,1_7,Outbound,4070,Unknown,3972,Unknown,08:00,Saturday,"3,823",21.026,267.277,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,4110,ELVDD,3714,ELECTRIC,08:30,Saturday,"3,651",21.026,200.176,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,4150,LV,3443,EURO6,09:00,Saturday,"3,522",21.026,444.723,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,4190,Unknown,Unknown,Unknown,09:30,Saturday,0,0.000,0.000,21.026,1,"3,660"
22-Jan-2022,1,1_7,Outbound,4230,Unknown,Unknown,Unknown,10:00,Saturday,0,0.000,0.000,21.026,1,"4,080"
22-Jan-2022,1,1_7,Outbound,4270,LV,3404,EURO6,10:30,Saturday,"3,711",21.026,346.400,21.026,0,"4,080"
22-Jan-2022,1,1_7,Outbound,4310,ELVDD,3710,ELECTRIC,11:00,Saturday,"3,832",21.026,409.930,21.026,0,"4,080"
22-Jan-2022,1,1_7,Outbound,4350,LV,3429,EURO6,11:30,Saturday,"3,935",21.026,630.165,21.026,0,"4,080"
22-Jan-2022,1,1_7,Outbound,4390,ELVDD,3712,ELECTRIC,12:00,Saturday,0,21.026,318.736,21.026,0,"4,080"
22-Jan-2022,1,1_7,Outbound,4430,ELVDD,3704,ELECTRIC,12:30,Saturday,"3,859",21.026,410.109,21.026,0,"4,020"
22-Jan-2022,1,1_7,Outbound,4470,ELVDD,3711,ELECTRIC,13:00,Saturday,"3,917",21.026,802.823,21.026,0,"4,020"
22-Jan-2022,1,1_7,Outbound,4510,LV,3421,EURO6,13:30,Saturday,"3,527",21.026,394.206,21.026,0,"4,020"
22-Jan-2022,1,1_7,Outbound,4550,LV,3404,EURO6,14:00,Saturday,"3,478",21.026,331.360,21.026,0,"4,020"
22-Jan-2022,1,1_7,Outbound,4590,ELVDD,3714,ELECTRIC,14:30,Saturday,"3,966",21.026,453.932,21.026,0,"3,900"
22-Jan-2022,1,1_7,Outbound,4630,LV,3443,EURO6,15:00,Saturday,"3,308",21.026,328.345,21.026,0,"3,900"
22-Jan-2022,1,1_7,Outbound,4670,LV,3423,EURO6,15:30,Saturday,"3,729",21.026,464.300,21.026,0,"3,840"
22-Jan-2022,1,1_7,Outbound,4710,Unknown,Unknown,Unknown,16:00,Saturday,0,0.000,0.000,21.026,1,"3,840"
22-Jan-2022,1,1_7,Outbound,4750,ELVDD,3710,ELECTRIC,16:30,Saturday,"3,901",21.026,513.231,21.026,0,"4,080"
22-Jan-2022,1,1_7,Outbound,4790,Unknown,Unknown,Unknown,17:00,Saturday,0,0.000,0.000,21.026,1,"3,660"
22-Jan-2022,1,1_7,Outbound,4830,Unknown,Unknown,Unknown,17:30,Saturday,0,0.000,0.000,21.026,1,"3,660"
22-Jan-2022,1,1_7,Outbound,4870,Unknown,3930,Unknown,18:00,Saturday,829,21.026,206.003,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,4910,Unknown,Unknown,Unknown,18:30,Saturday,0,0.000,0.000,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,4950,ELVDD,3713,ELECTRIC,19:00,Saturday,"3,340",21.026,265.196,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,4990,ELVDD,3710,ELECTRIC,19:40,Saturday,"3,287",21.026,150.169,21.026,0,"3,660"
22-Jan-2022,1,1_7,Outbound,5050,LV,3412,EURO6,20:40,Saturday,"2,838",21.026,179.485,21.026,0,"3,300"
22-Jan-2022,1,1_7,Outbound,5090,ELVDD,3713,ELECTRIC,21:40,Saturday,"3,094",21.026,132.383,21.026,0,"3,300"
22-Jan-2022,1,1_7,Outbound,5130,Unknown,Unknown,Unknown,22:45,Saturday,0,0.000,0.000,21.026,1,"3,300"
22-Jan-2022,1,1_7,Outbound,5210,LV,3450,EURO6,23:50,Saturday,0,21.026,119.452,21.026,0,"3,060"
22-Jan-2022,1,1_10,Outbound,4090,LV,3429,EURO6,08:15,Saturday,"3,264",21.329,117.069,21.329,0,"3,600"
22-Jan-2022,1,1_10,Outbound,4170,ELVDD,3701,ELECTRIC,09:15,Saturday,0,21.329,340.719,21.329,0,"3,840"
22-Jan-2022,1,1_10,Outbound,4250,ELVDD,3711,ELECTRIC,10:15,Saturday,"3,576",21.329,500.671,21.329,0,"3,840"
22-Jan-2022,1,1_10,Outbound,4330,Unknown,Unknown,Unknown,11:15,Saturday,0,0.000,0.000,21.329,1,"4,260"
22-Jan-2022,1,1_10,Outbound,4410,LV,3443,EURO6,12:15,Saturday,"3,809",21.329,304.712,21.329,0,"4,200"
22-Jan-2022,1,1_10,Outbound,4490,Unknown,Unknown,Unknown,13:15,Saturday,0,0.000,0.000,21.329,1,"4,200"
22-Jan-2022,1,1_10,Outbound,4570,LV,3406,EURO6,14:15,Saturday,"3,425",21.329,332.096,21.329,0,"4,200"
22-Jan-2022,1,1_10,Outbound,4650,ELVDD,3704,ELECTRIC,15:15,Saturday,"3,159",21.329,384.543,21.329,0,"4,200"
22-Jan-2022,1,1_10,Outbound,4730,LV,3409,EURO6,16:15,Saturday,"3,861",21.329,337.107,21.329,0,"3,900"
22-Jan-2022,1,1_10,Outbound,4810,ELVDD,3707,ELECTRIC,17:15,Saturday,"3,743",21.329,723.912,21.329,0,"3,900"
22-Jan-2022,1,1_10,Outbound,4890,LV,3423,EURO6,18:15,Saturday,"3,515",21.329,280.894,21.329,0,"3,660"
22-Jan-2022,1,1_10,Outbound,4970,Unknown,Unknown,Unknown,19:20,Saturday,0,0.000,0.000,21.329,1,"3,660"
22-Jan-2022,1,1_10,Outbound,5030,ELVDD,3707,ELECTRIC,20:20,Saturday,854,21.329,222.190,21.329,0,"3,600"
22-Jan-2022,1,1_10,Outbound,5170,LV,3423,EURO6,21:20,Saturday,"3,172",21.329,128.243,21.329,0,"3,360"
22-Jan-2022,1,1_10,Outbound,5190,ELVDD,3710,ELECTRIC,22:23,Saturday,"3,252",21.329,224.700,21.329,0,"3,360"
22-Jan-2022,1,1_12,Outbound,4130,ELVDD,3712,ELECTRIC,08:45,Saturday,0,22.544,182.681,22.544,0,"3,720"
22-Jan-2022,1,1_12,Outbound,4210,LV,3409,EURO6,09:45,Saturday,"4,083",22.544,539.354,22.544,0,"3,840"
22-Jan-2022,1,1_12,Outbound,4290,ELVDD,3706,ELECTRIC,10:45,Saturday,"3,757",22.544,269.349,22.544,0,"4,260"
22-Jan-2022,1,1_12,Outbound,4370,ELVDD,3714,ELECTRIC,11:45,Saturday,"3,421",22.544,443.881,22.544,0,"4,260"
22-Jan-2022,1,1_12,Outbound,4450,Unknown,Unknown,Unknown,12:45,Saturday,0,0.000,0.000,22.544,1,"4,260"
22-Jan-2022,1,1_12,Outbound,4530,ELVDD,3710,ELECTRIC,13:45,Saturday,"3,376",22.544,228.848,22.544,0,"4,020"
22-Jan-2022,1,1_12,Outbound,4610,ELVDD,3712,ELECTRIC,14:45,Saturday,"3,130",22.544,415.250,22.544,0,"4,020"
22-Jan-2022,1,1_12,Outbound,4690,ELVDD,3713,ELECTRIC,15:45,Saturday,"3,797",22.544,351.903,22.544,0,"3,960"
22-Jan-2022,1,1_12,Outbound,4770,Unknown,Unknown,Unknown,16:45,Saturday,0,0.000,0.000,22.544,1,"3,960"
22-Jan-2022,1,1_12,Outbound,4850,LV,3412,EURO6,17:45,Saturday,"3,510",22.544,255.967,22.544,0,"3,960"
22-Jan-2022,1,1_12,Outbound,4930,Unknown,3972,Unknown,18:45,Saturday,"3,797",22.544,313.806,22.544,0,"3,960"
22-Jan-2022,1,1_12,Outbound,5010,Unknown,Unknown,Unknown,20:00,Saturday,0,0.000,0.000,22.544,1,"3,660"
22-Jan-2022,1,1_12,Outbound,5070,Unknown,3930,Unknown,21:00,Saturday,"1,200",22.544,244.354,22.544,0,"3,360"
22-Jan-2022,1,1_12,Outbound,5110,Unknown,Unknown,Unknown,22:00,Saturday,0,0.000,0.000,22.544,0,"3,360"
22-Jan-2022,1,1_12,Outbound,5150,ELVDD,3707,ELECTRIC,23:20,Saturday,0,22.544,235.463,22.544,0,"3,180"
22-Jan-2022,2,2_1,Outbound,4010,ELV,5701,ELECTRIC,06:20,Saturday,"2,900",17.152,152.326,17.152,0,"2,880"
22-Jan-2022,2,2_1,Outbound,4050,ELV,5715,ELECTRIC,06:50,Saturday,"2,524",17.152,40.372,17.152,0,"2,880"
22-Jan-2022,2,2_1,Outbound,4090,ELV,5725,ELECTRIC,07:20,Saturday,"2,581",17.152,43.746,17.152,0,"2,880"
22-Jan-2022,2,2_1,Outbound,4130,ELV,5708,ELECTRIC,07:50,Saturday,"2,849",17.152,116.176,17.152,0,"3,360"
22-Jan-2022,2,2_1,Outbound,4170,ELV,5704,ELECTRIC,08:10,Saturday,"2,823",17.152,114.912,17.152,0,"3,360"
22-Jan-2022,2,2_1,Outbound,4210,ELV,5705,ELECTRIC,08:30,Saturday,"3,368",17.152,275.894,17.152,0,"3,360"
22-Jan-2022,2,2_1,Outbound,4250,ELV,5715,ELECTRIC,08:55,Saturday,"2,900",17.152,205.678,17.152,0,"3,360"
22-Jan-2022,2,2_1,Outbound,4290,ELV,5716,ELECTRIC,09:15,Saturday,"3,287",17.152,347.454,17.152,0,"3,360"
22-Jan-2022,2,2_1,Outbound,4330,ELV,5707,ELECTRIC,09:35,Saturday,"1,933",17.152,115.829,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4370,ELV,5708,ELECTRIC,09:55,Saturday,"3,495",17.152,276.964,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4410,ELV,5704,ELECTRIC,10:16,Saturday,"3,407",17.152,410.856,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4450,ELV,5701,ELECTRIC,10:35,Saturday,"3,382",17.152,299.445,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4490,ELV,5705,ELECTRIC,10:55,Saturday,"3,770",17.152,425.129,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4530,ELV,5724,ELECTRIC,11:15,Saturday,"3,443",17.152,366.843,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4570,ELV,5716,ELECTRIC,11:35,Saturday,"3,188",17.152,321.491,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4610,ELV,5707,ELECTRIC,11:55,Saturday,"2,601",17.152,110.547,17.152,0,"3,900"
22-Jan-2022,2,2_1,Outbound,4650,ELV,5721,ELECTRIC,12:15,Saturday,"3,719",17.152,521.289,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4690,ELV,5708,ELECTRIC,12:35,Saturday,"2,966",17.152,99.358,17.152,0,"3,780"
22-Jan-2022,2,2_1,Outbound,4730,ELV,5701,ELECTRIC,12:55,Saturday,"3,680",17.152,424.535,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,4770,LV,2480,EURO3,13:15,Saturday,"2,709",17.152,244.666,17.152,0,"3,840"
22-Jan-2022,2,2_1,Outbound,4810,ELV,5724,ELECTRIC,13:35,Saturday,"3,407",17.152,208.549,17.152,0,"3,840"
22-Jan-2022,2,2_1,Outbound,4850,ELV,5716,ELECTRIC,13:55,Saturday,"3,535",17.152,287.050,17.152,0,"3,900"
22-Jan-2022,2,2_1,Outbound,4890,ELV,5711,ELECTRIC,14:15,Saturday,"2,979",17.152,230.201,17.152,0,"3,840"
22-Jan-2022,2,2_1,Outbound,4930,ELV,5721,ELECTRIC,14:35,Saturday,"3,157",17.152,224.993,17.152,0,"3,780"
22-Jan-2022,2,2_1,Outbound,4970,ELV,5708,ELECTRIC,14:55,Saturday,"3,454",17.152,359.730,17.152,0,"3,900"
22-Jan-2022,2,2_1,Outbound,5010,ELV,5701,ELECTRIC,15:15,Saturday,"3,587",17.152,250.053,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5050,LV,2480,EURO3,15:35,Saturday,"3,289",17.152,229.855,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5090,ELV,5724,ELECTRIC,15:55,Saturday,"3,483",17.152,255.209,17.152,0,"3,840"
22-Jan-2022,2,2_1,Outbound,5130,ELV,5716,ELECTRIC,16:15,Saturday,"3,404",17.152,207.686,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5170,ELV,5711,ELECTRIC,16:35,Saturday,"3,116",17.152,102.705,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5210,ELV,5719,ELECTRIC,16:55,Saturday,"3,265",17.152,247.844,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5250,ELV,5708,ELECTRIC,17:15,Saturday,"3,278",17.152,299.441,17.152,0,"3,900"
22-Jan-2022,2,2_1,Outbound,5290,ELV,5714,ELECTRIC,17:35,Saturday,"3,603",17.152,368.361,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5330,LV,2480,EURO3,17:55,Saturday,"2,805",17.152,165.047,17.152,0,"3,720"
22-Jan-2022,2,2_1,Outbound,5370,ELV,5724,ELECTRIC,18:15,Saturday,"3,069",17.152,232.035,17.152,0,"3,600"
22-Jan-2022,2,2_1,Outbound,5410,ELV,5707,ELECTRIC,18:35,Saturday,964,17.152,115.942,17.152,0,"3,300"
22-Jan-2022,2,2_1,Outbound,5450,ELV,5719,ELECTRIC,18:55,Saturday,"1,120",17.152,218.472,17.152,0,"3,300"
22-Jan-2022,2,2_1,Outbound,5490,ELV,5721,ELECTRIC,19:16,Saturday,"2,849",17.152,180.037,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5530,ELV,5709,ELECTRIC,19:36,Saturday,"2,679",17.152,123.428,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5570,LV,2480,EURO3,19:56,Saturday,"3,187",17.152,31.156,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5610,ELV,5724,ELECTRIC,20:21,Saturday,"2,845",17.152,200.881,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5650,ELV,5715,ELECTRIC,20:50,Saturday,"2,632",17.152,156.756,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5690,ELV,5719,ELECTRIC,21:22,Saturday,0,17.152,211.216,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5730,ELV,5711,ELECTRIC,21:54,Saturday,"2,445",17.152,187.256,17.152,0,"3,120"
22-Jan-2022,2,2_1,Outbound,5770,ELV,5721,ELECTRIC,22:24,Saturday,"2,676",17.152,110.618,17.152,0,"2,880"
22-Jan-2022,2,2_1,Outbound,5810,ELV,5706,ELECTRIC,22:54,Saturday,"2,585",17.152,131.330,17.152,0,"2,880"
22-Jan-2022,2,2_1,Outbound,5850,ELV,5719,ELECTRIC,23:26,Saturday,"2,796",17.152,156.548,17.152,0,"2,880"
22-Jan-2022,2,2_2,Inbound,4020,ELV,5725,ELECTRIC,06:25,Saturday,"2,480",17.525,99.081,17.525,0,"2,760"
22-Jan-2022,2,2_2,Inbound,4060,ELV,5708,ELECTRIC,06:55,Saturday,"2,588",17.525,115.259,17.525,0,"2,880"
22-Jan-2022,2,2_2,Inbound,4100,ELV,5701,ELECTRIC,07:27,Saturday,"2,845",17.525,126.127,17.525,0,"2,880"
22-Jan-2022,2,2_2,Inbound,4140,ELV,5715,ELECTRIC,07:56,Saturday,"2,862",17.525,163.949,17.525,0,"3,060"
22-Jan-2022,2,2_2,Inbound,4180,ELV,5716,ELECTRIC,08:19,Saturday,"2,796",17.525,266.735,17.525,0,"3,240"
22-Jan-2022,2,2_2,Inbound,4220,ELV,5707,ELECTRIC,08:40,Saturday,"1,409",17.525,67.978,17.525,0,"3,060"
22-Jan-2022,2,2_2,Inbound,4260,ELV,5708,ELECTRIC,09:00,Saturday,"3,173",17.525,262.807,17.525,0,"3,060"
22-Jan-2022,2,2_2,Inbound,4300,ELV,5704,ELECTRIC,09:20,Saturday,"2,715",17.525,192.894,17.525,0,"3,240"
22-Jan-2022,2,2_2,Inbound,4340,ELV,5705,ELECTRIC,09:40,Saturday,"3,250",17.525,179.843,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4380,ELV,5715,ELECTRIC,10:00,Saturday,"2,912",17.525,187.921,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4420,ELV,5716,ELECTRIC,10:20,Saturday,"3,263",17.525,413.139,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4460,ELV,5707,ELECTRIC,10:40,Saturday,"3,270",17.525,161.610,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4500,ELV,5708,ELECTRIC,11:00,Saturday,"3,144",17.525,92.817,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4540,ELV,5704,ELECTRIC,11:20,Saturday,"3,599",17.525,358.806,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4580,ELV,5701,ELECTRIC,11:40,Saturday,"3,509",17.525,356.639,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4620,ELV,5705,ELECTRIC,12:00,Saturday,"2,882",17.525,289.322,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4660,ELV,5724,ELECTRIC,12:20,Saturday,"3,276",17.525,159.603,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4700,ELV,5716,ELECTRIC,12:40,Saturday,"3,158",17.525,190.208,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4740,ELV,5711,ELECTRIC,13:00,Saturday,"3,238",17.525,277.810,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4780,ELV,5721,ELECTRIC,13:20,Saturday,"2,911",17.525,336.549,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4820,ELV,5708,ELECTRIC,13:40,Saturday,"2,673",17.525,135.610,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4860,ELV,5701,ELECTRIC,14:00,Saturday,"3,369",17.525,331.784,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4900,LV,2480,EURO3,14:20,Saturday,"3,499",17.525,205.164,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4940,ELV,5724,ELECTRIC,14:40,Saturday,"3,046",17.525,150.837,17.525,0,"3,660"
22-Jan-2022,2,2_2,Inbound,4980,ELV,5716,ELECTRIC,15:02,Saturday,"3,116",17.525,227.649,17.525,0,"3,660"
