Date,Route,Route Variant,Direction,Trip Number,Actual Vehicle Type,Vehicle Number,Vehicle Emissions Standard,Start Minute (Sched),Day,Actual Running Time,Actual In-Service KM,Passenger km,Scheduled In-Service km,Cancelled Trips,Sched Running Time per Trip
22-Jan-2022,1,1_1,Inbound,4000,Unknown,3972,Unknown,06:45,Saturday,"3,093",21.239,166.328,21.239,0,"3,720"
22-Jan-2022,1,1_1,Inbound,4060,LV,3443,EURO6,07:45,Saturday,"3,365",21.239,235.316,21.239,0,"3,720"
22-Jan-2022,1,1_1,Inbound,4100,Unknown,Unknown,Unknown,08:15,Saturday,0,0.000,0.000,21.239,1,"3,720"
22-Jan-2022,1,1_1,Inbound,4140,ELVDD,3706,ELECTRIC,08:45,Saturday,"4,170",21.239,503.040,21.239,0,"4,080"
22-Jan-2022,1,1_1,Inbound,4180,Unknown,Unknown,Unknown,09:15,Saturday,0,0.000,0.000,21.239,1,"4,080"
22-Jan-2022,1,1_1,Inbound,4220,ELVDD,3714,ELECTRIC,09:45,Saturday,"4,071",21.239,403.554,21.239,0,"4,080"
22-Jan-2022,1,1_1,Inbound,4260,LV,3443,EURO6,10:15,Saturday,"3,509",21.239,325.070,21.239,0,"4,140"
22-Jan-2022,1,1_1,Inbound,4300,Unknown,Unknown,Unknown,10:45,Saturday,0,0.000,0.000,21.239,1,"4,620"
22-Jan-2022,1,1_1,Inbound,4340,Unknown,Unknown,Unknown,11:15,Saturday,0,0.000,0.000,21.239,1,"4,500"
22-Jan-2022,1,1_1,Inbound,4380,LV,3404,EURO6,11:45,Saturday,"3,975",21.239,259.156,21.239,0,"4,500"
22-Jan-2022,1,1_1,Inbound,4420,ELVDD,3710,ELECTRIC,12:15,Saturday,"3,643",21.239,274.195,21.239,0,"4,620"
22-Jan-2022,1,1_1,Inbound,4460,LV,3429,EURO6,12:45,Saturday,"3,026",21.239,301.929,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4500,ELVDD,3712,ELECTRIC,13:15,Saturday,0,21.239,168.738,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4540,ELVDD,3704,ELECTRIC,13:45,Saturday,"3,194",21.239,168.329,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4580,LV,3450,EURO6,14:15,Saturday,0,21.239,180.865,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4620,Unknown,Unknown,Unknown,14:45,Saturday,0,0.000,0.000,21.239,1,"4,620"
22-Jan-2022,1,1_1,Inbound,4660,LV,3404,EURO6,15:15,Saturday,"3,702",21.239,121.046,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4700,ELVDD,3707,ELECTRIC,15:45,Saturday,"3,833",21.239,251.793,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4740,Unknown,Unknown,Unknown,16:15,Saturday,0,0.000,0.000,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4780,LV,3423,EURO6,16:45,Saturday,"3,126",21.239,382.082,21.239,0,"4,200"
22-Jan-2022,1,1_1,Inbound,4820,Unknown,3972,Unknown,17:15,Saturday,"3,889",21.239,242.339,21.239,0,"3,900"
22-Jan-2022,1,1_1,Inbound,4860,ELVDD,3710,ELECTRIC,17:45,Saturday,0,21.239,127.752,21.239,0,"3,900"
22-Jan-2022,1,1_1,Inbound,4900,Unknown,Unknown,Unknown,18:15,Saturday,0,0.000,0.000,21.239,1,"3,900"
22-Jan-2022,1,1_1,Inbound,4940,Unknown,Unknown,Unknown,18:45,Saturday,0,0.000,0.000,21.239,1,"3,660"
22-Jan-2022,1,1_1,Inbound,4980,Unknown,Unknown,Unknown,19:50,Saturday,0,0.000,0.000,21.239,0,"3,660"
22-Jan-2022,1,1_1,Inbound,5020,ELVDD,3710,ELECTRIC,20:50,Saturday,"3,432",21.239,201.314,21.239,0,"3,660"
22-Jan-2022,1,1_1,Inbound,5060,ELVDD,3707,ELECTRIC,21:40,Saturday,"3,324",21.239,159.095,21.239,0,"3,660"
22-Jan-2022,1,1_1,Inbound,5100,LV,3423,EURO6,22:40,Saturday,"3,237",21.239,139.069,21.239,0,"3,660"
22-Jan-2022,1,1_1,Inbound,5140,Unknown,Unknown,Unknown,23:45,Saturday,0,0.000,0.000,21.239,1,"3,660"
22-Jan-2022,1,1_1,Inbound,5160,Unknown,3930,Unknown,19:15,Saturday,"3,270",21.239,154.022,21.239,0,"3,660"
22-Jan-2022,1,1_3,Inbound,4040,ELVDD,3712,ELECTRIC,07:26,Saturday,0,21.426,274.827,21.426,0,"3,600"
22-Jan-2022,1,1_3,Inbound,4120,Unknown,Unknown,Unknown,08:31,Saturday,0,0.000,0.000,21.426,1,"3,780"
22-Jan-2022,1,1_3,Inbound,4200,LV,3429,EURO6,09:31,Saturday,"3,940",21.426,579.860,21.426,0,"3,780"
22-Jan-2022,1,1_3,Inbound,4280,ELVDD,3704,ELECTRIC,10:31,Saturday,"4,032",21.426,568.222,21.426,0,"4,320"
22-Jan-2022,1,1_3,Inbound,4360,ELVDD,3711,ELECTRIC,11:31,Saturday,"3,783",21.426,441.840,21.426,0,"4,320"
22-Jan-2022,1,1_3,Inbound,4440,LV,3406,EURO6,12:31,Saturday,"1,631",21.426,201.040,21.426,0,"4,320"
22-Jan-2022,1,1_3,Inbound,4520,LV,3443,EURO6,13:31,Saturday,"3,885",21.426,463.422,21.426,0,"4,200"
22-Jan-2022,1,1_3,Inbound,4600,Unknown,Unknown,Unknown,14:31,Saturday,0,0.000,0.000,21.426,1,"4,200"
22-Jan-2022,1,1_3,Inbound,4680,DD,3523,EURO6,15:31,Saturday,"2,090",21.426,342.521,21.426,0,"4,200"
22-Jan-2022,1,1_3,Inbound,4760,Unknown,3930,Unknown,16:31,Saturday,"2,343",21.426,613.086,21.426,0,"4,200"
22-Jan-2022,1,1_3,Inbound,4840,LV,3409,EURO6,17:31,Saturday,"3,771",21.426,227.378,21.426,0,"4,200"
22-Jan-2022,1,1_3,Inbound,4920,ELVDD,3707,ELECTRIC,18:31,Saturday,"3,758",21.426,328.837,21.426,0,"3,300"
22-Jan-2022,1,1_3,Inbound,5180,LV,3423,EURO6,19:31,Saturday,"3,238",21.426,126.448,21.426,0,"3,600"
22-Jan-2022,1,1_3,Inbound,5200,LV,3401,EURO6,20:30,Saturday,"2,597",21.426,53.241,21.426,0,"3,600"
22-Jan-2022,1,1_5,Inbound,4020,ELVDD,3714,ELECTRIC,07:05,Saturday,"3,469",22.280,61.778,22.280,0,"3,660"
22-Jan-2022,1,1_5,Inbound,4080,ELVDD,3701,ELECTRIC,08:00,Saturday,"1,074",22.280,195.827,22.280,0,"3,660"
22-Jan-2022,1,1_5,Inbound,4160,ELVDD,3710,ELECTRIC,09:00,Saturday,"3,520",22.280,286.583,22.280,0,"3,900"
22-Jan-2022,1,1_5,Inbound,4240,ELVDD,3712,ELECTRIC,10:00,Saturday,"1,760",22.280,311.293,22.280,0,"4,320"
22-Jan-2022,1,1_5,Inbound,4320,LV,3409,EURO6,11:00,Saturday,"3,985",22.280,487.373,22.280,0,"4,320"
22-Jan-2022,1,1_5,Inbound,4400,LV,3421,EURO6,12:00,Saturday,"3,642",22.280,262.577,22.280,0,"4,560"
22-Jan-2022,1,1_5,Inbound,4480,ELVDD,3714,ELECTRIC,13:00,Saturday,"4,382",22.280,546.705,22.280,0,"4,560"
22-Jan-2022,1,1_5,Inbound,4560,ELVDD,3713,ELECTRIC,14:00,Saturday,0,22.280,254.371,22.280,0,"4,320"
22-Jan-2022,1,1_5,Inbound,4640,ELVDD,3710,ELECTRIC,15:00,Saturday,"4,164",22.280,399.337,22.280,0,"4,020"
22-Jan-2022,1,1_5,Inbound,4720,Unknown,Unknown,Unknown,16:00,Saturday,0,0.000,0.000,22.280,1,"4,020"
22-Jan-2022,1,1_5,Inbound,4800,ELVDD,3713,ELECTRIC,17:00,Saturday,"3,664",22.280,214.521,22.280,0,"4,020"
22-Jan-2022,1,1_5,Inbound,4880,Unknown,Unknown,Unknown,18:00,Saturday,0,0.000,0.000,22.280,1,"4,020"
22-Jan-2022,1,1_5,Inbound,4960,LV,3412,EURO6,19:00,Saturday,"3,430",22.280,210.077,22.280,0,"3,600"
22-Jan-2022,1,1_5,Inbound,5000,ELVDD,3713,ELECTRIC,20:10,Saturday,"3,443",22.280,238.708,22.280,0,"3,600"
