Date Modified,Vehicle Number,Operator,Operator Short Code,Operator Prefix,Unit Number,Mode,Date of First Registration,Date of Manufacture,Bike Rack Capable,Bus Size,Engine Rating,"Max no. of passengers (Seated, Adult)","Max no. of passengers (Standing, Adult)",No. of Wheelchair Spaces,TARE Weight (KG),Vehicle Registration Number,source_filename
23/07/2018,2211,NZ Bus,NZB,NBM,Unit_02,Bus,22/04/2010,22/04/2010,Yes,LV,EURO5,39,42,1,12190,FJH25,2018-07-23_fleet-list.csv
23/07/2018,2212,NZ Bus,NZB,NBM,Unit_02,Bus,27/04/2010,27/04/2010,Yes,LV,EURO5,39,42,1,12190,FJH29,2018-07-23_fleet-list.csv
23/07/2018,2213,NZ Bus,NZB,NBM,Unit_03,Bus,5/05/2010,5/05/2010,Yes,LV,EURO5,39,42,1,12190,FJH38,2018-07-23_fleet-list.csv
23/07/2018,2214,NZ Bus,NZB,NBM,Unit_03,Bus,11/05/2010,11/05/2010,Yes,LV,EURO5,39,42,1,12190,FJU344,2018-07-23_fleet-list.csv
23/07/2018,2215,NZ Bus,NZB,NBM,Unit_03,Bus,18/05/2010,18/05/2010,Yes,LV,EURO5,39,42,1,12190,FJU351,2018-07-23_fleet-list.csv
23/07/2018,2216,NZ Bus,NZB,NBM,Unit_03,Bus,25/05/2010,25/05/2010,No,LV,EURO5,39,42,1,12190,FJU359,2018-07-23_fleet-list.csv
23/07/2018,2217,NZ Bus,NZB,NBM,Unit_03,Bus,3/06/2010,3/06/2010,No,LV,EURO5,39,42,1,12190,FKJ767,2018-07-23_fleet-list.csv
23/07/2018,2218,NZ Bus,NZB,NBM,Unit_03,Bus,9/06/2010,9/06/2010,Yes,LV,EURO5,39,42,1,12190,FKJ770,2018-07-23_fleet-list.csv
23/07/2018,2219,NZ Bus,NZB,NBM,Unit_05,Bus,17/06/2010,17/06/2010,No,LV68,EURO5,42,26,1,12190,FKJ777,2018-07-23_fleet-list.csv
23/07/2018,2220,NZ Bus,NZB,NBM,Unit_05,Bus,24/06/2010,24/06/2010,No,LV68,EURO5,42,26,1,12190,FLD103,2018-07-23_fleet-list.csv
23/07/2018,2221,NZ Bus,NZB,NBM,Unit_05,Bus,2/07/2010,2/07/2010,No,LV68,EURO5,42,26,1,12190,FLD111,2018-07-23_fleet-list.csv
23/07/2018,2222,NZ Bus,NZB,NBM,Unit_05,Bus,29/07/2010,29/07/2010,No,LV68,EURO5,42,26,1,12190,FJQ565,2018-07-23_fleet-list.csv
23/07/2018,2223,NZ Bus,NZB,NBM,Unit_05,Bus,29/07/2010,29/07/2010,No,LV68,EURO5,42,26,1,12190,FJQ566,2018-07-23_fleet-list.csv
23/07/2018,2301,NZ Bus,NZB,NBM,Unit_02,Bus,5/03/2004,5/03/2004,No,LV,EURO3,51,24,1,9500,BWT725,2018-07-23_fleet-list.csv
23/07/2018,2302,NZ Bus,NZB,NBM,Unit_02,Bus,5/03/2004,5/03/2004,No,LV,EURO3,51,24,1,9500,BWT726,2018-07-23_fleet-list.csv
23/07/2018,2303,NZ Bus,NZB,NBM,Unit_02,Bus,24/03/2004,24/03/2004,No,LV,EURO3,51,24,1,9500,BYG534,2018-07-23_fleet-list.csv
23/07/2018,2304,NZ Bus,NZB,NBM,Unit_02,Bus,26/03/2004,26/03/2004,No,LV,EURO3,51,24,1,9500,BYG535,2018-07-23_fleet-list.csv
23/07/2018,2305,NZ Bus,NZB,NBM,Unit_02,Bus,30/03/2004,30/03/2004,No,LV,EURO3,51,24,1,9500,BYS585,2018-07-23_fleet-list.csv
23/07/2018,2306,NZ Bus,NZB,NBM,Unit_02,Bus,21/02/2005,21/02/2005,No,LV,EURO3,51,24,1,9500,CML355,2018-07-23_fleet-list.csv
23/07/2018,2308,NZ Bus,NZB,NBM,Unit_02,Bus,8/04/2005,8/04/2005,No,LV,EURO3,51,24,1,9500,CPT64,2018-07-23_fleet-list.csv
23/07/2018,2309,NZ Bus,NZB,NBM,Unit_02,Bus,14/04/2005,14/04/2005,No,LV,EURO3,51,24,1,9500,CPT80,2018-07-23_fleet-list.csv
23/07/2018,2310,NZ Bus,NZB,NBM,Unit_02,Bus,7/11/2005,7/11/2005,No,LV,EURO3,51,24,1,9500,CZZ672,2018-07-23_fleet-list.csv
23/07/2018,2311,NZ Bus,NZB,NBM,Unit_02,Bus,14/11/2005,14/11/2005,No,LV,EURO3,51,24,1,9500,DAH304,2018-07-23_fleet-list.csv
23/07/2018,2312,NZ Bus,NZB,NBM,Unit_12,Bus,19/11/2005,,No,LV,EURO3,51,24,1,9500,DAH311,2018-07-23_fleet-list.csv
23/07/2018,2313,NZ Bus,NZB,NBM,Unit_12,Bus,23/11/2005,,No,LV,EURO3,51,24,1,9500,DAU242,2018-07-23_fleet-list.csv
23/07/2018,2314,NZ Bus,NZB,NBM,Unit_12,Bus,24/11/2005,,No,LV,EURO3,51,24,1,9500,DAU246,2018-07-23_fleet-list.csv
23/07/2018,2445,NZ Bus,NZB,NBM,Unit_12,Bus,15/03/2005,15/03/2005,Yes,LV,EURO3,51,24,1,9710,CNR604,2018-07-23_fleet-list.csv
23/07/2018,2446,NZ Bus,NZB,NBM,Unit_12,Bus,16/03/2005,16/03/2005,Yes,LV,EURO3,51,24,1,9710,CNR605,2018-07-23_fleet-list.csv
23/07/2018,2447,NZ Bus,NZB,NBM,Unit_12,Bus,23/03/2005,23/03/2005,Yes,LV,EURO3,51,24,1,9710,CPC191,2018-07-23_fleet-list.csv
23/07/2018,2448,NZ Bus,NZB,NBM,Unit_12,Bus,24/03/2005,24/03/2005,Yes,LV,EURO3,51,24,1,9710,CPC199,2018-07-23_fleet-list.csv
23/07/2018,2449,NZ Bus,NZB,NBM,Unit_12,Bus,1/04/2005,1/04/2005,Yes,LV,EURO3,51,24,1,9710,CPG39,2018-07-23_fleet-list.csv
23/07/2018,2452,NZ Bus,NZB,NBM,Unit_02,Bus,14/04/2005,14/04/2005,Yes,LV,EURO3,51,24,1,9710,CPT78,2018-07-23_fleet-list.csv
